base_name,scenario,impl,mean_ns,median_ns,stddev_ns,cv_pct,is_patternia,fastest_impl,fastest_mean_ns,impl_vs_fastest_pct,impl_vs_patternia_pct,patternia_impl,patternia_mean_ns,patternia_rank,patternia_vs_fastest_pct,patternia_status
BM_IfElse_CommandParser/min_time:0.500/repeats:20,CommandParser,IfElse,1.898065,1.950583,0.070269,3.7021,no,Switch,1.342659,41.3661,7.0221,PatterniaPipe,1.773526,2,32.0906,slow
BM_IfElse_LiteralMatch/min_time:0.500/repeats:20,LiteralMatch,IfElse,0.908062,0.907336,0.002292,0.2525,no,Switch,0.901320,0.7480,-49.5616,PatterniaPipe,1.800337,3,99.7445,slow
BM_IfElse_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,IfElse,1.888378,1.885358,0.012347,0.6539,no,StdVisit,1.491674,26.5946,13.0080,PatterniaPipe,1.671013,2,12.0227,watch
BM_PatterniaPipe_CommandParser/min_time:0.500/repeats:20,CommandParser,PatterniaPipe,1.773526,1.771926,0.008161,0.4601,yes,Switch,1.342659,32.0906,0.0000,PatterniaPipe,1.773526,2,32.0906,slow
BM_PatterniaPipe_LiteralMatch/min_time:0.500/repeats:20,LiteralMatch,PatterniaPipe,1.800337,1.800585,0.001783,0.0990,yes,Switch,0.901320,99.7445,0.0000,PatterniaPipe,1.800337,3,99.7445,slow
BM_PatterniaPipe_PacketMixed/min_time:0.500/repeats:20,PacketMixed,PatterniaPipe,1.404678,1.394079,0.048903,3.4815,yes,PatterniaPipe,1.404678,0.0000,0.0000,PatterniaPipe,1.404678,1,0.0000,fastest
BM_PatterniaPipe_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,PatterniaPipe,1.671013,1.676139,0.017209,1.0299,yes,StdVisit,1.491674,12.0227,0.0000,PatterniaPipe,1.671013,2,12.0227,watch
BM_PatterniaPipe_VariantMixed/min_time:0.500/repeats:20,VariantMixed,PatterniaPipe,1.069373,1.066316,0.007657,0.7160,yes,PatterniaPipe,1.069373,0.0000,0.0000,PatterniaPipe,1.069373,1,0.0000,fastest
BM_Sequential_VariantMixed/min_time:0.500/repeats:20,VariantMixed,Sequential,1.233128,1.231907,0.003212,0.2605,no,PatterniaPipe,1.069373,15.3132,15.3132,PatterniaPipe,1.069373,1,0.0000,fastest
BM_StdVisit_CommandParser/min_time:0.500/repeats:20,CommandParser,StdVisit,2.015127,2.012713,0.010196,0.5060,no,Switch,1.342659,50.0848,13.6226,PatterniaPipe,1.773526,2,32.0906,slow
BM_StdVisit_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,StdVisit,1.491674,1.491459,0.004207,0.2821,no,StdVisit,1.491674,0.0000,-10.7324,PatterniaPipe,1.671013,2,12.0227,watch
BM_StdVisit_VariantMixed/min_time:0.500/repeats:20,VariantMixed,StdVisit,1.070847,1.068138,0.008672,0.8098,no,PatterniaPipe,1.069373,0.1378,0.1378,PatterniaPipe,1.069373,1,0.0000,fastest
BM_SwitchIndex_VariantMixed/min_time:0.500/repeats:20,VariantMixed,SwitchIndex,1.086435,1.084168,0.007926,0.7295,no,PatterniaPipe,1.069373,1.5955,1.5955,PatterniaPipe,1.069373,1,0.0000,fastest
BM_Switch_CommandParser/min_time:0.500/repeats:20,CommandParser,Switch,1.342659,1.341566,0.009295,0.6923,no,Switch,1.342659,0.0000,-24.2944,PatterniaPipe,1.773526,2,32.0906,slow
BM_Switch_LiteralMatch/min_time:0.500/repeats:20,LiteralMatch,Switch,0.901320,0.898742,0.013092,1.4525,no,Switch,0.901320,0.0000,-49.9360,PatterniaPipe,1.800337,3,99.7445,slow
BM_Switch_PacketMixed/min_time:0.500/repeats:20,PacketMixed,Switch,1.436293,1.438779,0.021113,1.4700,no,PatterniaPipe,1.404678,2.2507,2.2507,PatterniaPipe,1.404678,1,0.0000,fastest
BM_Switch_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,Switch,1.722801,1.722559,0.003748,0.2176,no,StdVisit,1.491674,15.4945,3.0992,PatterniaPipe,1.671013,2,12.0227,watch
